과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
경영과학,1,교수010,0.3,0.3,0.2,0.2,0.3,0.4,0.2,0.1,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생260,202400260,21,64,15,10,0,,,,,
학생263,202400263,19,78,16,8,0,,,,,
학생248,202400248,15,57,15,6,0,,,,,
학생228,202400228,20,76,18,8,0,,,,,
학생251,202400251,21,89,20,6,0,,,,,
학생205,202400205,17,61,19,7,0,,,,,
학생255,202400255,19,76,17,10,0,,,,,
학생250,202400250,17,89,20,10,0,,,,,
학생264,202400264,23,84,17,9,0,,,,,
학생206,202400206,22,71,19,8,0,,,,,
학생294,202400294,30,91,19,6,0,,,,,
학생241,202400241,19,66,15,9,0,,,,,
학생224,202400224,28,90,15,7,0,,,,,
학생238,202400238,30,50,17,8,0,,,,,
학생234,202400234,16,71,16,10,0,,,,,
학생261,202400261,30,90,17,7,0,,,,,
학생285,202400285,18,100,18,8,0,,,,,
학생296,202400296,29,71,15,10,0,,,,,
학생265,202400265,15,88,17,6,0,,,,,
학생200,202400200,21,63,17,10,0,,,,,
학생275,202400275,22,69,15,9,0,,,,,
학생219,202400219,25,95,19,8,0,,,,,
학생289,202400289,27,67,19,9,0,,,,,
학생280,202400280,21,99,17,10,0,,,,,
학생216,202400216,23,80,16,7,0,,,,,
학생220,202400220,18,59,16,8,0,,,,,
학생225,202400225,29,86,17,8,0,,,,,
학생233,202400233,22,75,15,6,0,,,,,
학생291,202400291,18,68,19,8,0,,,,,
학생223,202400223,19,59,18,8,0,,,,,
학생271,202400271,30,84,16,8,0,,,,,
학생208,202400208,26,59,19,9,0,,,,,
학생232,202400232,17,74,18,6,0,,,,,
학생229,202400229,22,94,17,9,0,,,,,
학생226,202400226,20,88,17,10,0,,,,,
학생299,202400299,15,53,16,6,0,,,,,
학생290,202400290,30,57,17,9,0,,,,,
학생274,202400274,26,100,15,10,0,,,,,
학생221,202400221,17,62,19,6,0,,,,,
학생240,202400240,21,95,20,8,0,,,,,
학생287,202400287,18,55,16,7,0,,,,,
학생293,202400293,19,100,16,9,0,,,,,
학생257,202400257,24,91,20,7,0,,,,,
학생236,202400236,26,69,19,6,0,,,,,
학생242,202400242,19,81,17,7,0,,,,,
학생210,202400210,30,73,20,8,0,,,,,
학생231,202400231,25,99,19,10,0,,,,,
학생222,202400222,30,56,17,10,0,,,,,
학생239,202400239,18,88,20,10,0,,,,,
학생268,202400268,30,99,20,10,0,,,,,
학생246,202400246,22,52,20,7,0,,,,,
학생262,202400262,21,61,15,10,0,,,,,
학생277,202400277,30,98,20,6,0,,,,,
학생288,202400288,30,90,16,7,0,,,,,
학생286,202400286,27,78,20,7,0,,,,,
학생215,202400215,29,74,18,7,0,,,,,
학생279,202400279,15,94,16,6,0,,,,,
학생217,202400217,21,82,18,6,0,,,,,
학생269,202400269,29,54,18,9,0,,,,,
학생247,202400247,18,90,20,9,0,,,,,
학생212,202400212,22,89,19,7,0,,,,,
학생295,202400295,29,90,15,8,0,,,,,
학생204,202400204,27,52,18,8,0,,,,,
학생245,202400245,21,53,18,7,0,,,,,
학생227,202400227,20,88,20,8,0,,,,,
학생259,202400259,29,57,19,7,0,,,,,
