과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
경영정보시스템,1,교수005,0.3,0.3,0.2,0.2,0.3,0.4,0.2,0.1,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생099,202400099,20,82,7,5,0,,,,,
학생177,202400177,13,65,5,8,0,,,,,
학생303,202400303,18,98,6,5,0,,,,,
학생151,202400151,16,60,9,9,0,,,,,
학생043,202400043,13,81,10,7,0,,,,,
학생002,202400002,19,41,7,6,0,,,,,
학생255,202400255,14,73,6,7,0,,,,,
학생250,202400250,16,61,10,6,0,,,,,
학생108,202400108,11,82,7,8,0,,,,,
학생253,202400253,19,39,7,9,0,,,,,
학생200,202400200,16,49,9,7,0,,,,,
학생034,202400034,17,82,6,9,0,,,,,
학생167,202400167,10,85,6,8,0,,,,,
학생129,202400129,20,44,9,7,0,,,,,
학생027,202400027,10,76,6,10,0,,,,,
학생194,202400194,10,98,10,9,0,,,,,
학생163,202400163,14,53,10,7,0,,,,,
학생073,202400073,11,31,8,10,0,,,,,
학생112,202400112,13,86,9,5,0,,,,,
학생392,202400392,17,82,6,10,0,,,,,
학생375,202400375,19,85,6,8,0,,,,,
학생008,202400008,17,48,5,10,0,,,,,
학생264,202400264,17,63,5,9,0,,,,,
학생130,202400130,11,31,5,5,0,,,,,
학생282,202400282,17,63,9,7,0,,,,,
학생295,202400295,19,51,10,9,0,,,,,
학생118,202400118,17,74,5,8,0,,,,,
학생301,202400301,11,93,5,8,0,,,,,
학생266,202400266,13,37,7,9,0,,,,,
학생096,202400096,13,40,8,6,0,,,,,
학생356,202400356,15,63,8,5,0,,,,,
학생088,202400088,14,35,6,8,0,,,,,
학생106,202400106,14,62,6,10,0,,,,,
학생273,202400273,16,98,5,10,0,,,,,
학생399,202400399,11,55,8,9,0,,,,,
학생121,202400121,12,32,5,8,0,,,,,
학생022,202400022,12,53,8,7,0,,,,,
학생077,202400077,17,98,5,10,0,,,,,
학생382,202400382,13,92,5,7,0,,,,,
학생228,202400228,20,62,7,5,0,,,,,
학생062,202400062,11,97,5,8,0,,,,,
학생040,202400040,19,87,6,5,0,,,,,
학생036,202400036,14,88,7,8,0,,,,,
학생165,202400165,17,35,10,7,0,,,,,
학생191,202400191,18,69,5,9,0,,,,,
학생331,202400331,13,30,10,7,0,,,,,
학생201,202400201,10,64,9,9,0,,,,,
학생203,202400203,15,77,10,7,0,,,,,
학생374,202400374,14,31,8,7,0,,,,,
학생053,202400053,18,94,6,6,0,,,,,
