과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
경영통계학,2,교수002,0.3,0.3,0.2,0.2,0.3,0.4,0.2,0.1,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생046,202400046,24,61,5,10,0,,,,,
학생167,202400167,25,57,10,8,0,,,,,
학생128,202400128,25,65,8,9,0,,,,,
학생286,202400286,25,95,3,10,0,,,,,
학생249,202400249,30,67,8,8,0,,,,,
학생102,202400102,30,80,4,10,0,,,,,
학생062,202400062,20,84,5,8,0,,,,,
학생136,202400136,21,55,4,10,0,,,,,
학생201,202400201,23,74,5,9,0,,,,,
학생343,202400343,17,92,7,8,0,,,,,
학생158,202400158,27,62,10,8,0,,,,,
학생075,202400075,29,85,4,10,0,,,,,
학생225,202400225,28,60,9,10,0,,,,,
학생086,202400086,27,69,8,9,0,,,,,
학생369,202400369,23,97,8,9,0,,,,,
학생251,202400251,21,100,8,10,0,,,,,
학생258,202400258,19,93,10,8,0,,,,,
학생199,202400199,19,72,9,8,0,,,,,
학생313,202400313,17,50,7,10,0,,,,,
학생306,202400306,15,99,5,8,0,,,,,
학생300,202400300,24,67,9,8,0,,,,,
학생323,202400323,29,85,7,10,0,,,,,
학생074,202400074,18,91,4,10,0,,,,,
학생141,202400141,24,66,3,8,0,,,,,
학생178,202400178,25,73,8,9,0,,,,,
학생155,202400155,18,85,4,9,0,,,,,
학생307,202400307,20,58,10,9,0,,,,,
학생108,202400108,25,57,10,10,0,,,,,
학생211,202400211,15,76,7,10,0,,,,,
학생318,202400318,15,60,3,8,0,,,,,
학생353,202400353,22,50,4,10,0,,,,,
학생398,202400398,16,56,10,10,0,,,,,
학생099,202400099,28,99,8,10,0,,,,,
학생016,202400016,23,85,8,9,0,,,,,
학생235,202400235,30,87,3,10,0,,,,,
학생058,202400058,24,78,10,8,0,,,,,
학생205,202400205,20,93,9,10,0,,,,,
학생291,202400291,19,57,5,10,0,,,,,
학생036,202400036,22,65,3,8,0,,,,,
학생104,202400104,26,75,9,9,0,,,,,
학생076,202400076,30,79,10,9,0,,,,,
학생014,202400014,15,98,7,9,0,,,,,
학생311,202400311,30,81,3,9,0,,,,,
학생238,202400238,30,95,9,8,0,,,,,
학생050,202400050,16,53,10,10,0,,,,,
학생181,202400181,19,72,5,8,0,,,,,
학생170,202400170,18,67,9,10,0,,,,,
학생212,202400212,17,69,6,8,0,,,,,
학생179,202400179,15,86,7,8,0,,,,,
학생237,202400237,24,57,3,9,0,,,,,
학생097,202400097,25,92,3,8,0,,,,,
학생280,202400280,27,56,10,10,0,,,,,
학생033,202400033,23,87,6,10,0,,,,,
학생059,202400059,26,54,9,8,0,,,,,
학생319,202400319,16,51,4,9,0,,,,,
학생154,202400154,23,95,8,10,0,,,,,
학생146,202400146,27,99,7,10,0,,,,,
학생288,202400288,23,78,10,10,0,,,,,
학생145,202400145,27,85,6,10,0,,,,,
학생391,202400391,25,74,3,8,0,,,,,
학생253,202400253,17,58,8,10,0,,,,,
학생105,202400105,22,95,3,9,0,,,,,
학생261,202400261,22,97,4,9,0,,,,,
학생377,202400377,17,75,10,10,0,,,,,
학생210,202400210,29,61,6,9,0,,,,,
학생091,202400091,20,82,9,8,0,,,,,
학생068,202400068,29,50,5,9,0,,,,,
학생363,202400363,23,57,9,8,0,,,,,
학생218,202400218,23,58,4,8,0,,,,,
학생030,202400030,30,64,6,10,0,,,,,
학생231,202400231,22,76,8,8,0,,,,,
학생049,202400049,24,79,4,10,0,,,,,
학생087,202400087,26,98,4,10,0,,,,,
학생148,202400148,15,86,7,10,0,,,,,
학생041,202400041,27,50,7,9,0,,,,,
학생383,202400383,29,66,5,10,0,,,,,
학생079,202400079,25,71,3,9,0,,,,,
학생162,202400162,24,71,3,9,0,,,,,
학생358,202400358,22,54,8,9,0,,,,,
학생130,202400130,22,63,4,8,0,,,,,
학생189,202400189,19,98,10,8,0,,,,,
학생332,202400332,19,64,7,10,0,,,,,
학생077,202400077,29,94,6,9,0,,,,,
학생134,202400134,20,99,4,8,0,,,,,
학생229,202400229,29,51,4,10,0,,,,,
학생252,202400252,26,85,4,9,0,,,,,
학생204,202400204,23,77,9,8,0,,,,,
학생242,202400242,22,57,4,10,0,,,,,
학생195,202400195,27,85,6,10,0,,,,,
학생297,202400297,30,71,7,9,0,,,,,
학생124,202400124,23,95,9,9,0,,,,,
학생378,202400378,28,56,9,9,0,,,,,
학생303,202400303,28,99,5,9,0,,,,,
학생094,202400094,16,70,6,8,0,,,,,
학생399,202400399,30,82,3,9,0,,,,,
