과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
경영학원론,2,교수002,0.3,0.3,0.2,0.2,0.35,0.83,0.17,0,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생212,202400212,22,100,6,9,1,,,,,
학생082,202400082,24,59,8,8,1,,,,,
학생001,202400001,22,74,10,8,0,인정,,,,
학생143,202400143,20,62,5,10,1,,,,,
학생256,202400256,26,77,5,10,1,,,,,
학생163,202400163,22,90,7,8,1,,,,,
학생223,202400223,26,70,3,8,1,,,,,
학생198,202400198,20,50,5,10,1,,,,,
학생156,202400156,16,70,5,8,1,,,,,
학생331,202400331,26,81,6,8,1,,,,,
학생206,202400206,19,71,6,8,1,,,,,
학생029,202400029,26,96,3,9,1,,,,,
학생302,202400302,30,97,3,10,1,,,,,
학생190,202400190,23,65,4,8,1,,,,,
학생154,202400154,20,73,10,8,1,,,,,
학생229,202400229,18,68,4,10,1,,,,,
학생085,202400085,16,73,6,10,1,,,,,
학생009,202400009,17,76,10,8,1,,,,,
학생134,202400134,25,97,5,8,1,,,,,
학생068,202400068,20,89,7,8,1,,,,,
학생112,202400112,27,69,10,8,1,,,,,
학생320,202400320,19,91,9,10,1,,,,,
학생126,202400126,16,99,5,10,1,,,,,
학생104,202400104,25,72,4,10,1,,,,,
학생056,202400056,30,94,6,8,1,,,,,
학생121,202400121,22,84,4,10,1,,,,,
학생024,202400024,24,68,6,8,1,,,,,
학생179,202400179,28,63,3,9,1,,,,,
학생384,202400384,19,69,10,10,1,,,,,
학생227,202400227,27,82,5,10,1,,,,,
학생184,202400184,19,94,9,9,1,,,,,
학생171,202400171,24,74,6,10,1,,,,,
학생231,202400231,28,73,8,10,1,,,,,
학생238,202400238,21,74,10,9,1,,,,,
학생012,202400012,27,58,8,9,1,,,,,
학생369,202400369,22,89,7,10,1,,,,,
학생330,202400330,16,76,3,8,1,,,,,
학생200,202400200,26,56,8,9,1,,,,,
학생252,202400252,15,76,6,10,1,,,,,
학생341,202400341,24,93,3,8,1,,,,,
학생365,202400365,20,52,7,10,1,,,,,
학생315,202400315,30,93,4,10,1,,,,,
학생202,202400202,15,82,6,8,1,,,,,
학생334,202400334,20,64,9,9,1,,,,,
학생026,202400026,19,57,4,9,1,,,,,
학생298,202400298,23,99,3,9,1,,,,,
학생046,202400046,30,61,8,8,1,,,,,
학생322,202400322,22,56,9,10,1,,,,,
학생191,202400191,19,88,8,9,1,,,,,
학생105,202400105,24,89,10,9,1,,,,,
학생149,202400149,23,67,8,9,1,,,,,
학생133,202400133,26,75,9,10,1,,,,,
학생153,202400153,19,71,10,9,1,,,,,
학생136,202400136,30,98,3,10,1,,,,,
학생339,202400339,24,53,4,10,1,,,,,
학생034,202400034,27,78,4,10,1,,,,,
학생337,202400337,29,60,5,8,1,,,,,
학생260,202400260,25,83,7,9,1,,,,,
학생293,202400293,17,61,3,9,1,,,,,
학생038,202400038,18,50,9,10,1,,,,,
학생397,202400397,30,58,8,9,1,,,,,
학생095,202400095,18,88,3,9,1,,,,,
학생220,202400220,26,64,4,8,1,,,,,
학생313,202400313,28,80,10,8,1,,,,,
학생130,202400130,21,90,9,10,1,,,,,
학생006,202400006,18,53,9,9,1,,,,,
학생049,202400049,15,57,5,9,1,,,,,
학생187,202400187,23,56,9,9,1,,,,,
학생233,202400233,17,84,6,8,1,,,,,
학생387,202400387,18,59,5,10,1,,,,,
학생345,202400345,20,77,8,9,1,,,,,
학생358,202400358,28,94,6,10,1,,,,,
학생170,202400170,20,84,6,10,1
