과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
경제학원론,3,교수003,0.3,0.3,0.2,0.2,0.35,0.83,0.17,0,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생386,202400386,21,71,3,9,1,,,,,
학생182,202400182,23,58,9,10,1,,,,,
학생287,202400287,29,58,5,10,1,,,,,
학생245,202400245,19,75,8,9,1,,,,,
학생239,202400239,22,56,3,9,1,,,,,
학생299,202400299,18,97,3,8,1,,,,,
학생033,202400033,26,92,5,10,1,,,,,
학생351,202400351,26,64,4,8,1,,,,,
학생273,202400273,27,67,3,10,1,,,,,
학생163,202400163,15,74,5,9,1,,,,,
학생369,202400369,15,78,3,8,1,,,,,
학생092,202400092,28,93,4,10,1,,,,,
학생238,202400238,17,80,4,8,1,,,,,
학생119,202400119,17,60,9,9,1,,,,,
학생217,202400217,23,50,8,8,1,,,,,
학생094,202400094,16,73,7,9,1,,,,,
학생150,202400150,16,59,9,10,1,,,,,
학생155,202400155,26,99,3,8,1,,,,,
학생274,202400274,24,76,3,9,1,,,,,
학생376,202400376,18,50,8,10,1,,,,,
학생308,202400308,29,72,10,9,1,,,,,
학생049,202400049,19,85,4,10,1,,,,,
학생310,202400310,23,89,3,8,1,,,,,
학생032,202400032,17,84,5,8,1,,,,,
학생361,202400361,25,59,4,9,1,,,,,
학생224,202400224,16,63,10,8,1,,,,,
학생375,202400375,19,77,3,8,1,,,,,
학생099,202400099,27,61,3,10,1,,,,,
학생311,202400311,16,67,7,9,1,,,,,
학생326,202400326,18,50,3,8,1,,,,,
학생027,202400027,25,77,9,8,1,,,,,
학생329,202400329,19,64,6,10,1,,,,,
학생225,202400225,15,78,6,8,1,,,,,
학생067,202400067,27,53,10,9,1,,,,,
학생232,202400232,18,92,10,9,1,,,,,
학생114,202400114,26,56,6,8,1,,,,,
학생108,202400108,18,68,6,8,1,,,,,
학생168,202400168,18,74,9,8,1,,,,,
학생298,202400298,26,76,8,10,1,,,,,
학생199,202400199,30,81,5,10,1,,,,,
학생253,202400253,30,79,3,10,1,,,,,
학생230,202400230,22,50,3,8,1,,,,,
학생035,202400035,27,92,4,9,1,,,,,
학생185,202400185,23,64,10,10,1,,,,,
학생289,202400289,17,52,10,10,1,,,,,
학생014,202400014,18,83,7,9,1,,,,,
학생237,202400237,16,59,8,9,1,,,,,
학생207,202400207,17,87,10,9,1,,,,,
학생003,202400003,22,80,7,9,1,,,,,
학생137,202400137,15,64,6,9,1,,,,,
학생016,202400016,26,83,5,10,1,,,,,
학생121,202400121,30,58,10,8,1,,,,,
학생390,202400390,26,92,4,10,1,,,,,
학생242,202400242,20,66,4,8,1,,,,,
학생355,202400355,22,88,8,9,1,,,,,
학생290,202400290,21,69,6,9,1,,,,,
학생333,202400333,25,51,7,8,1,,,,,
학생066,202400066,28,94,10,8,1,,,,,
학생259,202400259,22,89,5,10,1,,,,,
학생216,202400216,17,51,7,9,1,,,,,
학생348,202400348,22,96,5,8,1,,,,,
학생098,202400098,29,92,7,10,1,,,,,
학생018,202400018,30,85,6,8,1,,,,,
학생356,202400356,16,96,6,9,1,,,,,
학생215,202400215,16,89,4,10,1,,,,,
학생111,202400111,24,73,7,10,1,,,,,
학생263,202400263,22,57,5,9,1,,,,,
학생012,202400012,27,92,8,8,1,,,,,
학생296,202400296,28,78,10,10,1,,,,,
학생068,202400068,15,91,9,9,1,,,,,
학생029,202400029,28,82,9,8,1,,,,,
학생288,202400288,20,62,3,10,1,,,,,
학생262,202400262,24,90,4,10,1,,,,,
학생008,202400008,28,71,6,10,1,,,,,
학생303,202400303,29,53,4,8,1,,,,,
학생179,202400179,25,84,3,9,1,,,,,
학생187,202400187,27,53,3,8,1,,,,,
학생256,202400256,19,94,3,10,1,,,,,
학생095,202400095,22,99,10,8,1,,,,,
학생077,202400077,16,86,6,10,1,,,,,
학생313,202400313,26,55,4,9,1,,,,,
학생167,202400167,24,72,6,10,1,,,,,
학생190,202400190,30,83,7,9,1,,,,,
학생019,202400019,18,87,10,10,1,,,,,
학생073,202400073,24,86,8,9,1,,,,,
학생065,202400065,17,97,8,9,1,,,,,
학생122,202400122,25,99,9,10,1,,,,,
학생244,202400244,19,93,5,8,1,,,,,
학생118,202400118,25,80,4,10,1,,,,,
학생124,202400124,22,52,4,10,1,,,,,
학생233,202400233,24,89,4,8,1,,,,,
학생248,202400248,21,76,8,8,1,,,,,
학생252,202400252,24,96,8,8,1,,,,,
학생139,202400139,25,54,8,8,1,,,,,
