과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
마케팅리서치,1,교수007,0.3,0.3,0.2,0.2,0.35,0.83,0.17,0,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생133,202400133,16,51,9,9,1,,,,,
학생183,202400183,19,60,9,7,1,,,,,
학생199,202400199,15,75,11,8,1,,,,,
학생161,202400161,20,60,15,9,1,,,,,
학생146,202400146,11,70,10,9,1,,,,,
학생194,202400194,15,50,13,8,1,,,,,
학생143,202400143,9,62,7,6,1,,,,,
학생178,202400178,9,69,7,9,1,,,,,
학생169,202400169,15,57,15,7,1,,,,,
학생106,202400106,12,60,15,9,1,,,,,
학생158,202400158,16,63,5,7,1,,,,,
학생144,202400144,12,53,8,7,1,,,,,
학생136,202400136,14,65,5,9,1,,,,,
학생118,202400118,20,75,5,6,1,,,,,
학생171,202400171,9,62,9,6,1,,,,,
학생176,202400176,20,59,5,9,1,,,,,
학생140,202400140,18,60,14,6,1,,,,,
학생135,202400135,19,54,14,8,1,,,,,
학생115,202400115,17,73,11,7,1,,,,,
학생117,202400117,18,56,6,9,1,,,,,
학생101,202400101,16,68,10,9,1,,,,,
학생139,202400139,19,73,11,8,1,,,,,
학생150,202400150,16,60,12,8,1,,,,,
학생145,202400145,19,63,13,10,1,,,,,
학생170,202400170,10,53,12,9,1,,,,,
학생189,202400189,16,77,8,8,1,,,,,
학생128,202400128,20,61,9,6,1,,,,,
학생120,202400120,12,69,9,6,1,,,,,
학생185,202400185,10,73,8,7,1,,,,,
학생127,202400127,13,58,9,8,1,,,,,
학생038,202400038,14,80,13,7,1,,,,,
학생131,202400131,15,52,11,8,1,,,,,
학생122,202400122,10,67,5,6,1,,,,,
학생164,202400164,12,64,14,9,1,,,,,
학생152,202400152,14,64,9,8,1,,,,,
학생182,202400182,12,75,6,8,1,,,,,
학생181,202400181,15,64,13,6,1,,,,,
학생121,202400121,17,54,14,9,1,,,,,
학생126,202400126,20,64,9,6,1,,,,,
학생119,202400119,9,54,10,10,1,,,,,
학생113,202400113,15,74,8,10,1,,,,,
학생148,202400148,16,52,15,10,1,,,,,
학생175,202400175,19,77,11,7,1,,,,,
학생154,202400154,11,55,10,7,1,,,,,
학생166,202400166,11,73,13,6,1,,,,,
학생198,202400198,13,62,15,7,1,,,,,
학생108,202400108,9,63,10,7,1,,,,,
