과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
무역학개론,1,교수005,0.3,0.3,0.2,0.2,0.3,0.4,0.2,0.1,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생345,202400345,24,73,8,8,0,,,,,
학생317,202400317,16,86,6,10,0,,,,,
학생185,202400185,20,66,4,8,0,,,,,
학생332,202400332,30,86,10,8,0,,,,,
학생175,202400175,16,99,6,8,0,,,,,
학생236,202400236,21,69,6,8,0,,,,,
학생328,202400328,17,96,7,8,0,,,,,
학생180,202400180,23,90,6,8,0,,,,,
학생004,202400004,24,100,6,9,0,,,,,
학생039,202400039,19,85,7,8,0,,,,,
학생373,202400373,23,50,6,10,0,,,,,
학생258,202400258,24,69,10,10,0,,,,,
학생298,202400298,29,69,5,8,0,,,,,
학생032,202400032,21,82,4,10,0,,,,,
학생009,202400009,29,78,9,9,0,,,,,
학생400,202400400,17,66,9,10,0,,,,,
학생025,202400025,29,59,4,10,0,,,,,
학생286,202400286,18,79,8,8,0,,,,,
학생128,202400128,19,83,3,10,0,,,,,
학생339,202400339,29,88,10,10,0,,,,,
학생187,202400187,27,96,7,10,0,,,,,
학생172,202400172,22,86,4,9,0,,,,,
학생072,202400072,18,82,5,9,0,,,,,
학생171,202400171,21,57,10,9,0,,,,,
학생102,202400102,25,70,7,9,0,,,,,
학생343,202400343,25,69,5,8,0,,,,,
학생088,202400088,15,59,7,8,0,,,,,
학생055,202400055,20,89,5,10,0,,,,,
학생030,202400030,18,72,10,10,0,,,,,
학생389,202400389,24,51,4,8,0,,,,,
학생284,202400284,23,75,5,8,0,,,,,
학생327,202400327,27,67,7,9,0,,,,,
학생346,202400346,29,50,9,10,0,,,,,
학생239,202400239,27,65,9,10,0,,,,,
학생192,202400192,26,84,7,9,0,,,,,
학생003,202400003,30,57,8,9,0,,,,,
학생299,202400299,20,71,8,10,0,,,,,
학생167,202400167,26,87,9,10,0,,,,,
학생209,202400209,24,63,4,9,0,,,,,
학생342,202400342,18,67,5,8,0,,,,,
학생248,202400248,27,94,3,8,0,,,,,
학생226,202400226,27,76,3,9,0,,,,,
학생218,202400218,21,81,4,8,0,,,,,
학생204,202400204,15,53,5,10,0,,,,,
학생050,202400050,29,61,8,10,0,,,,,
학생038,202400038,18,70,5,10,0,,,,,
학생031,202400031,20,68,4,9,0,,,,,
학생288,202400288,27,70,10,9,0,,,,,
학생005,202400005,24,78,8,8,0,,,,,
학생318,202400318,17,90,5,9,0,,,,,
학생329,202400329,24,69,4,9,0,,,,,
학생351,202400351,24,93,6,9,0,,,,,
학생282,202400282,29,92,5,9,0,,,,,
학생135,202400135,18,89,5,10,0,,,,,
학생231,202400231,18,94,4,8,0,,,,,
학생106,202400106,29,91,10,10,0,,,,,
학생001,202400001,25,79,8,10,0,,,,,
학생222,202400222,16,66,5,8,0,,,,,
학생251,202400251,17,58,8,10,0,,,,,
학생348,202400348,21,70,8,10,0,,,,,
학생150,202400150,25,69,4,10,0,,,,,
학생113,202400113,19,74,5,9,0,,,,,
학생237,202400237,26,68,7,9,0,,,,,
학생188,202400188,18,84,5,8,0,,,,,
학생270,202400270,30,65,5,9,0,,,,,
학생302,202400302,20,96,8,10,0,,,,,
학생200,202400200,23,64,7,9,0,,,,,
학생140,202400140,28,99,7,8,0,,,,,
학생383,202400383,27,72,5,9,0,,,,,
학생084,202400084,26,81,10,8,0,,,,,
학생331,202400331,18,58,3,9,0,,,,,
학생349,202400349,24,90,4,9,0,,,,,
학생228,202400228,25,84,6,10,0,,,,,
학생153,202400153,27,72,6,9,0,,,,,
학생398,202400398,26,90,7,10,0,,,,,
학생033,202400033,17,80,7,8,0,,,,,
학생338,202400338,24,50,9,9,0,,,,,
학생079,202400079,21,55,10,10,0,,,,,
학생227,202400227,17,69,5,9,0,,,,,
학생086,202400086,21,70,8,10,0,,,,,
학생007,202400007,26,96,7,9,0,,,,,
학생312,202400312,25,68,4,9,0,,,,,
학생147,202400147,24,89,3,10,0,,,,,
학생138,202400138,25,82,7,9,0,,,,,
