과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
서비스마케팅,1,교수007,0.3,0.3,0.2,0.2,0.3,0.4,0.2,0.1,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생373,202400373,30,79,30,10,0,,,,,
학생083,202400083,9,96,21,7,0,,,,,
학생307,202400307,27,88,28,10,0,,,,,
학생229,202400229,11,53,27,5,0,,,,,
학생260,202400260,16,62,14,6,0,,,,,
학생165,202400165,17,94,9,8,0,,,,,
학생106,202400106,16,71,12,10,0,,,,,
학생004,202400004,27,67,27,10,0,,,,,
학생294,202400294,11,73,7,8,0,,,,,
학생246,202400246,18,81,11,9,0,,,,,
학생045,202400045,21,72,19,7,0,,,,,
학생386,202400386,24,100,29,10,0,,,,,
학생212,202400212,8,86,5,8,0,,,,,
학생270,202400270,11,64,22,9,0,,,,,
학생283,202400283,29,64,6,8,0,,,,,
학생182,202400182,25,67,10,6,0,,,,,
학생155,202400155,29,83,27,9,0,,,,,
학생254,202400254,4,88,19,6,0,,,,,
학생240,202400240,16,86,29,9,0,,,,,
학생137,202400137,5,79,18,8,0,,,,,
학생275,202400275,13,69,18,6,0,,,,,
학생375,202400375,13,54,29,5,0,,,,,
학생230,202400230,8,63,17,5,0,,,,,
학생036,202400036,30,89,17,10,0,,,,,
학생344,202400344,9,91,22,9,0,,,,,
학생101,202400101,30,88,18,5,0,,,,,
학생258,202400258,15,59,24,8,0,,,,,
학생069,202400069,12,77,15,6,0,,,,,
학생191,202400191,29,56,17,5,0,,,,,
학생384,202400384,10,86,16,10,0,,,,,
학생257,202400257,6,55,6,6,0,,,,,
학생050,202400050,28,53,5,5,0,,,,,
학생102,202400102,17,90,23,9,0,,,,,
학생099,202400099,29,92,15,6,0,,,,,
학생133,202400133,8,92,23,10,0,,,,,
학생273,202400273,28,76,20,8,0,,,,,
학생054,202400054,6,61,26,5,0,,,,,
학생243,202400243,28,52,9,9,0,,,,,
학생224,202400224,19,84,25,8,0,,,,,
학생292,202400292,13,58,29,7,0,,,,,
학생118,202400118,5,50,24,7,0,,,,,
학생218,202400218,16,92,7,6,0,,,,,
학생037,202400037,22,80,19,9,0,,,,,
학생061,202400061,28,82,22,5,0,,,,,
학생274,202400274,6,84,22,9,0,,,,,
학생009,202400009,17,100,27,5,0,,,,,
학생209,202400209,5,95,20,5,0,,,,,
학생372,202400372,30,88,10,5,0,,,,,
학생023,202400023,10,68,26,9,0,,,,,
학생105,202400105,27,67,25,5,0,,,,,
학생174,202400174,18,70,27,5,0,,,,,
학생184,202400184,5,92,8,10,0,,,,,
학생089,202400089,18,97,19,8,0,,,,,
학생162,202400162,25,70,15,6,0,,,,,
학생332,202400332,10,50,14,5,0,,,,,
학생253,202400253,23,59,25,5,0,,,,,
학생325,202400325,13,89,16,10,0,,,,,
학생346,202400346,20,76,9,8,0,,,,,
학생068,202400068,6,52,12,5,0,,,,,
학생142,202400142,15,66,24,8,0,,,,,
학생180,202400180,8,82,9,5,0,,,,,
학생235,202400235,18,52,16,9,0,,,,,
학생315,202400315,18,81,6,8,0,,,,,
