과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
세무회계,1,교수008,0.3,0.3,0.2,0.2,0.3,0.4,0.2,0.1,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생220,202400220,98,88,15,7,0,,,,,
학생280,202400280,88,85,16,8,0,,,,,
학생219,202400219,80,92,15,7,0,,,,,
학생261,202400261,90,83,15,9,0,,,,,
학생265,202400265,89,55,16,10,0,,,,,
학생248,202400248,94,91,16,8,0,,,,,
학생273,202400273,82,75,16,9,0,,,,,
학생251,202400251,95,76,17,9,0,,,,,
학생247,202400247,94,78,17,10,0,,,,,
학생205,202400205,93,61,20,8,0,,,,,
학생209,202400209,97,79,16,10,0,,,,,
학생291,202400291,97,60,17,9,0,,,,,
학생253,202400253,81,61,17,7,0,,,,,
학생287,202400287,86,83,18,10,0,,,,,
학생224,202400224,91,98,18,9,0,,,,,
학생230,202400230,82,92,16,10,0,,,,,
학생217,202400217,81,90,20,7,0,,,,,
학생279,202400279,91,78,15,10,0,,,,,
학생254,202400254,97,70,17,7,0,,,,,
학생293,202400293,83,64,17,6,0,,,,,
학생295,202400295,99,68,15,10,0,,,,,
학생250,202400250,80,86,15,6,0,,,,,
학생300,202400300,90,70,19,7,0,,,,,
학생216,202400216,93,68,16,6,0,,,,,
학생238,202400238,85,88,15,9,0,,,,,
학생206,202400206,93,72,16,8,0,,,,,
학생281,202400281,91,62,20,8,0,,,,,
학생218,202400218,98,84,15,6,0,,,,,
학생242,202400242,95,87,19,9,0,,,,,
학생285,202400285,97,73,17,9,0,,,,,
학생213,202400213,99,76,17,8,0,,,,,
학생255,202400255,97,100,20,10,0,,,,,
학생286,202400286,83,81,19,9,0,,,,,
학생294,202400294,85,56,20,10,0,,,,,
학생260,202400260,83,55,18,10,0,,,,,
