과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
세법개론,1,교수008,0.3,0.3,0.2,0.2,0.3,0.4,0.2,0.1,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생163,202400163,10,65,8,4,0,,,,,
학생170,202400170,15,88,12,4,0,,,,,
학생177,202400177,1,83,12,4,0,,,,,
학생151,202400151,8,58,10,10,0,,,,,
학생131,202400131,9,95,7,10,0,,,,,
학생128,202400128,9,98,7,4,0,,,,,
학생125,202400125,7,81,6,3,0,,,,,
학생106,202400106,12,91,15,7,0,,,,,
학생193,202400193,4,61,11,6,0,,,,,
학생104,202400104,8,84,15,8,0,,,,,
학생197,202400197,18,88,5,9,0,,,,,
학생130,202400130,3,54,15,10,0,,,,,
학생121,202400121,7,90,8,6,0,,,,,
학생124,202400124,11,95,11,10,0,,,,,
학생137,202400137,20,71,13,4,0,,,,,
학생018,202400018,20,85,10,7,0,,,,,
학생199,202400199,12,93,13,3,0,,,,,
학생132,202400132,11,76,14,7,0,,,,,
학생127,202400127,2,91,9,6,0,,,,,
학생182,202400182,0,70,5,6,0,,,,,
학생110,202400110,15,75,5,9,0,,,,,
학생172,202400172,15,82,7,7,0,,,,,
학생117,202400117,4,56,5,10,0,,,,,
학생169,202400169,19,67,15,6,0,,,,,
학생145,202400145,7,97,9,5,0,,,,,
학생160,202400160,14,79,5,8,0,,,,,
학생178,202400178,0,70,15,5,0,,,,,
학생147,202400147,18,70,8,8,0,,,,,
학생141,202400141,11,54,8,5,0,,,,,
학생111,202400111,14,59,12,5,0,,,,,
학생187,202400187,17,57,12,10,0,,,,,
학생153,202400153,17,56,8,6,0,,,,,
학생122,202400122,18,98,8,9,0,,,,,
학생101,202400101,4,80,7,6,0,,,,,
학생119,202400119,0,72,11,3,0,,,,,
학생166,202400166,9,52,10,10,0,,,,,
학생103,202400103,3,56,9,4,0,,,,,
학생184,202400184,13,70,8,7,0,,,,,
학생161,202400161,12,90,5,7,0,,,,,
학생192,202400192,20,60,13,6,0,,,,,
학생109,202400109,19,92,15,9,0,,,,,
학생105,202400105,14,59,10,7,0,,,,,
학생155,202400155,10,62,7,9,0,,,,,
학생143,202400143,17,75,10,6,0,,,,,
학생107,202400107,12,58,10,8,0,,,,,
학생181,202400181,8,96,8,4,0,,,,,
학생159,202400159,11,73,8,4,0,,,,,
학생186,202400186,10,99,5,6,0,,,,,
학생176,202400176,2,97,11,5,0,,,,,
학생191,202400191,18,83,14,9,0,,,,,
학생167,202400167,11,64,8,8,0,,,,,
학생157,202400157,3,54,12,3,0,,,,,
학생188,202400188,16,88,7,10,0,,,,,
학생162,202400162,17,62,6,7,0,,,,,
학생156,202400156,2,68,6,5,0,,,,,
학생120,202400120,14,80,7,8,0,,,,,
학생114,202400114,13,97,8,6,0,,,,,
학생175,202400175,5,81,11,4,0,,,,,
학생108,202400108,2,95,5,3,0,,,,,
학생164,202400164,2,96,15,8,0,,,,,
학생173,202400173,7,100,14,10,0,,,,,
학생139,202400139,10,68,7,7,0,,,,,
학생179,202400179,10,78,11,7,0,,,,,
학생148,202400148,0,86,11,5,0,,,,,
