과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
스마트경영,2,교수010,0.3,0.3,0.2,0.2,0.35,0.83,0.17,0,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생316,202400316,5,76,19,6,1,,,,,
학생311,202400311,8,83,8,10,1,,,,,
학생373,202400373,5,70,15,8,1,,,,,
학생356,202400356,8,71,9,10,1,,,,,
학생322,202400322,4,96,8,9,1,,,,,
학생397,202400397,4,55,3,8,1,,,,,
학생328,202400328,0,73,4,7,1,,,,,
학생321,202400321,2,58,3,7,1,,,,,
학생309,202400309,1,87,0,10,1,,,,,
학생329,202400329,0,79,1,6,1,,,,,
학생390,202400390,4,58,10,7,1,,,,,
학생305,202400305,2,78,8,7,1,,,,,
학생392,202400392,9,76,16,8,1,,,,,
학생394,202400394,1,86,19,10,1,,,,,
학생326,202400326,8,85,20,7,1,,,,,
학생335,202400335,10,72,0,6,1,,,,,
학생345,202400345,10,75,2,6,1,,,,,
학생357,202400357,3,98,20,10,1,,,,,
학생389,202400389,1,99,11,7,1,,,,,
학생320,202400320,4,63,17,9,1,,,,,
학생331,202400331,2,80,7,10,1,,,,,
학생306,202400306,2,84,6,10,1,,,,,
학생351,202400351,2,52,17,6,1,,,,,
학생323,202400323,4,72,3,9,1,,,,,
학생352,202400352,1,92,7,8,1,,,,,
학생355,202400355,7,78,12,6,1,,,,,
학생378,202400378,9,91,3,9,1,,,,,
학생346,202400346,6,71,6,6,1,,,,,
학생317,202400317,5,92,10,7,1,,,,,
학생330,202400330,10,56,20,7,1,,,,,
학생372,202400372,1,64,20,10,1,,,,,
학생395,202400395,1,70,4,7,1,,,,,
학생361,202400361,2,69,2,8,1,,,,,
학생348,202400348,0,100,5,7,1,,,,,
학생374,202400374,0,89,8,10,1,,,,,
학생350,202400350,2,98,6,8,1,,,,,
학생396,202400396,0,58,5,6,1,,,,,
학생341,202400341,9,54,8,9,1,,,,,
학생314,202400314,7,54,7,9,1,,,,,
학생334,202400334,4,73,13,8,1,,,,,
학생388,202400388,6,92,3,10,1,,,,,
학생393,202400393,10,87,17,10,1,,,,,
학생398,202400398,8,88,14,7,1,,,,,
