과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
인적자원관리,1,교수009,0.3,0.3,0.2,0.2,0.3,0.4,0.2,0.1,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생352,202400352,21,90,16,10,0,,,,,
학생186,202400186,13,62,15,9,0,,,,,
학생058,202400058,14,66,12,3,0,,,,,
학생141,202400141,34,58,12,9,0,,,,,
학생283,202400283,0,41,20,8,0,,,,,
학생394,202400394,7,99,19,8,0,,,,,
학생087,202400087,17,95,17,9,0,,,,,
학생060,202400060,13,64,13,8,0,,,,,
학생386,202400386,1,88,14,8,0,,,,,
학생399,202400399,36,68,12,5,0,,,,,
학생072,202400072,9,44,18,10,0,,,,,
학생126,202400126,9,61,11,4,0,,,,,
학생012,202400012,37,81,12,4,0,,,,,
학생282,202400282,1,37,12,5,0,,,,,
학생163,202400163,38,81,12,5,0,,,,,
학생144,202400144,26,44,13,6,0,,,,,
학생091,202400091,2,56,15,10,0,,,,,
학생160,202400160,35,79,20,4,0,,,,,
학생285,202400285,31,91,17,8,0,,,,,
학생173,202400173,7,100,18,4,0,,,,,
학생214,202400214,24,36,10,7,0,,,,,
학생079,202400079,40,34,15,4,0,,,,,
학생244,202400244,25,98,10,3,0,,,,,
학생099,202400099,38,59,16,8,0,,,,,
학생337,202400337,31,32,16,3,0,,,,,
학생059,202400059,20,54,17,6,0,,,,,
학생367,202400367,27,32,10,8,0,,,,,
학생178,202400178,34,37,19,9,0,,,,,
학생271,202400271,14,95,16,4,0,,,,,
학생351,202400351,30,95,16,7,0,,,,,
학생156,202400156,17,46,18,7,0,,,,,
학생082,202400082,25,70,19,7,0,,,,,
학생248,202400248,9,88,18,8,0,,,,,
학생226,202400226,28,65,20,6,0,,,,,
학생016,202400016,11,63,15,7,0,,,,,
학생275,202400275,21,96,20,5,0,,,,,
학생068,202400068,37,80,20,8,0,,,,,
학생196,202400196,7,82,17,9,0,,,,,
학생236,202400236,33,95,11,7,0,,,,,
학생132,202400132,16,68,11,5,0,,,,,
학생154,202400154,32,46,13,6,0,,,,,
학생208,202400208,28,52,12,9,0,,,,,
학생363,202400363,40,42,12,4,0,,,,,
학생048,202400048,33,69,18,3,0,,,,,
학생080,202400080,7,33,13,4,0,,,,,
학생321,202400321,37,84,17,5,0,,,,,
학생118,202400118,12,80,15,3,0,,,,,
학생113,202400113,11,88,16,10,0,,,,,
학생122,202400122,30,45,19,5,0,,,,,
학생230,202400230,2,59,16,4,0,,,,,
학생215,202400215,27,72,12,7,0,,,,,
학생057,202400057,30,53,15,7,0,,,,,
학생151,202400151,25,63,18,9,0,,,,,
학생050,202400050,22,55,19,8,0,,,,,
학생138,202400138,13,72,12,8,0,,,,,
학생292,202400292,23,40,16,5,0,,,,,
학생209,202400209,24,49,11,5,0,,,,,
학생298,202400298,30,99,19,4,0,,,,,
학생030,202400030,3,90,11,4,0,,,,,
학생281,202400281,20,45,10,9,0,,,,,
학생396,202400396,3,41,11,5,0,,,,,
학생140,202400140,16,87,13,6,0,,,,,
학생324,202400324,22,87,14,3,0,,,,,
학생263,202400263,14,67,10,3,0,,,,,
학생290,202400290,26,74,13,4,0,,,,,
학생195,202400195,20,47,10,5,0,,,,,
학생251,202400251,33,90,12,7,0,,,,,
학생107,202400107,24,43,11,3,0,,,,,
학생213,202400213,7,90,14,8,0,,,,,
학생201,202400201,33,44,20,9,0,,,,,
학생340,202400340,21,32,17,4,0,,,,,
학생004,202400004,33,77,16,6,0,,,,,
학생326,202400326,26,54,11,8,0,,,,,
학생272,202400272,5,86,18,8,0,,,,,
학생390,202400390,4,93,20,3,0,,,,,
학생123,202400123,4,66,16,6,0,,,,,
학생392,202400392,28,33,13,7,0,,,,,
학생210,202400210,21,88,17,8,0,,,,,
학생332,202400332,35,87,17,4,0,,,,,
학생040,202400040,38,78,17,7,0,,,,,
학생009,202400009,39,73,12,6,0,,,,,
학생353,202400353,25,82,11,3,0,,,,,
학생143,202400143,4,66,12,9,0,,,,,
학생110,202400110,22,94,13,7,0,,,,,
학생008,202400008,5,58,11,6,0,,,,,
학생304,202400304,2,100,16,10,0,,,,,
학생371,202400371,38,43,20,8,0,,,,,
학생296,202400296,14,89,16,8,0,,,,,
학생117,202400117,39,85,17,8,0,,,,,
학생026,202400026,30,84,19,10,0,,,,,
학생063,202400063,34,80,10,3,0,,,,,
학생150,202400150,33,84,18,10,0,,,,,
학생395,202400395,6,82,17,10,0,,,,,
학생014,202400014,4,92,10,4,0,,,,,
학생391,202400391,40,77,12,7,0,,,,,
학생274,202400274,37,44,13,5,0,,,,,
학생341,202400341,14,77,15,9,0,,,,,
학생191,202400191,19,65,13,7,0,,,,,
학생257,202400257,0,31,17,4,0,,,,,
학생333,202400333,11,67,10,5,0,,,,,
학생389,202400389,23,66,14,4,0,,,,,
학생299,202400299,7,99,13,4,0,,,,,
학생273,202400273,35,69,20,6,0,,,,,
학생288,202400288,2,35,11,4,0,,,,,
학생397,202400397,19,74,17,8,0,,,,,
학생176,202400176,9,51,19,5,0,,,,,
학생142,202400142,18,96,16,3,0,,,,,
학생388,202400388,9,68,17,7,0,,,,,
학생185,202400185,8,38,17,6,0,,,,,
학생124,202400124,3,37,13,9,0,,,,,
학생061,202400061,20,34,13,5,0,,,,,
학생276,202400276,8,32,20,7,0,,,,,
학생073,202400073,24,71,12,4,0,,,,,
학생006,202400006,2,45,12,3,0,,,,,
학생365,202400365,19,77,13,9,0,,,,,
학생277,202400277,24,51,11,8,0,,,,,
학생278,202400278,16,33,16,7,0,,,,,
학생015,202400015,19,85,20,9,0,,,,,
학생051,202400051,24,93,13,6,0,,,,,
학생165,202400165,23,31,15,7,0,,,,,
학생385,202400385,2,93,20,4,0,,,,,
학생256,202400256,34,76,20,3,0,,,,,
학생270,202400270,10,46,13,5,0,,,,,
학생011,202400011,1,68,12,4,0,,,,,
학생033,202400033,33,92,15,7,0,,,,,
학생070,202400070,1,88,18,4,0,,,,,
학생021,202400021,33,89,14,8,0,,,,,
학생069,202400069,10,62,11,8,0,,,,,
학생221,202400221,3,40,18,5,0,,,,,
학생313,202400313,15,89,18,6,0,,,,,
학생354,202400354,2,58,12,5,0,,,,,
학생002,202400002,36,90,18,8,0,,,,,
학생046,202400046,29,63,12,9,0,,,,,
학생212,202400212,6,55,11,10,0,,,,,
학생370,202400370,17,40,10,8,0,,,,,
학생372,202400372,15,45,14,8,0,,,,,
학생166,202400166,0,87,11,7,0,,,,,
학생098,202400098,32,77,15,10,0,,,,,
학생393,202400393,37,90,14,10,0,,,,,
학생147,202400147,23,95,18,3,0,,,,,
학생261,202400261,36,51,18,8,0,,,,,
학생377,202400377,10,64,15,4,0,,,,,
학생369,202400369,18,37,16,10,0,,,,,
학생054,202400054,23,70,14,3,0,,,,,
학생238,202400238,11,54,20,10,0,,,,,
학생258,202400258,25,66,19,8,0,,,,,
학생031,202400031,31,40,13,6,0,,,,,
학생029,202400029,12,99,13,5,0,,,,,
학생235,202400235,23,95,14,5,0,,,,,
학생400,202400400,7,84,11,10,0,,,,,
학생179,202400179,13,86,13,5,0,,,,,
학생038,202400038,28,88,18,8,0,,,,,
학생312,202400312,37,58,15,5,0,,,,,
학생172,202400172,23,88,18,5,0,,,,,
학생111,202400111,20,51,11,7,0,,,,,
학생024,202400024,17,50,19,3,0,,,,,
