과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
재무관리,1,교수006,0.3,0.3,0.2,0.2,0.3,0.4,0.2,0.1,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생087,202400087,18,82,9,9,0,,,,,
학생019,202400019,10,57,5,9,0,,,,,
학생044,202400044,18,53,7,8,0,,,,,
학생091,202400091,14,77,8,8,0,,,,,
학생094,202400094,16,97,3,9,0,,,,,
학생030,202400030,13,72,7,8,0,,,,,
학생084,202400084,16,89,7,9,0,,,,,
학생097,202400097,17,92,10,9,0,,,,,
학생070,202400070,20,85,7,10,0,,,,,
학생093,202400093,14,79,9,10,0,,,,,
학생072,202400072,13,71,9,8,0,,,,,
학생060,202400060,10,66,6,10,0,,,,,
학생056,202400056,19,53,9,8,0,,,,,
학생068,202400068,11,64,4,8,0,,,,,
학생027,202400027,19,87,5,10,0,,,,,
학생062,202400062,10,52,10,8,0,,,,,
학생057,202400057,15,65,10,8,0,,,,,
학생028,202400028,15,60,4,9,0,,,,,
학생008,202400008,12,98,5,10,0,,,,,
학생077,202400077,16,86,9,9,0,,,,,
학생088,202400088,13,56,9,10,0,,,,,
학생076,202400076,20,50,10,10,0,,,,,
학생020,202400020,17,89,8,8,0,,,,,
학생011,202400011,12,69,6,8,0,,,,,
학생029,202400029,13,65,3,10,0,,,,,
학생035,202400035,15,94,9,10,0,,,,,
학생039,202400039,18,94,4,9,0,,,,,
학생085,202400085,17,71,6,10,0,,,,,
학생043,202400043,10,86,5,10,0,,,,,
학생049,202400049,17,84,10,10,0,,,,,
학생086,202400086,10,88,4,9,0,,,,,
학생047,202400047,13,90,3,10,0,,,,,
학생022,202400022,16,95,10,10,0,,,,,
학생036,202400036,19,98,3,8,0,,,,,
학생096,202400096,14,100,3,9,0,,,,,
학생080,202400080,17,80,3,10,0,,,,,
학생067,202400067,11,71,6,9,0,,,,,
학생005,202400005,10,66,8,10,0,,,,,
학생051,202400051,10,97,6,10,0,,,,,
학생009,202400009,16,67,7,9,0,,,,,
학생089,202400089,15,83,10,9,0,,,,,
학생063,202400063,14,64,8,10,0,,,,,
학생026,202400026,10,94,10,8,0,,,,,
학생079,202400079,20,52,8,10,0,,,,,
학생024,202400024,15,52,8,9,0,,,,,
학생045,202400045,15,52,4,10,0,,,,,
학생090,202400090,10,88,3,8,0,,,,,
학생066,202400066,12,82,3,9,0,,,,,
학생081,202400081,15,82,4,9,0,,,,,
학생021,202400021,12,78,10,8,0,,,,,
학생069,202400069,12,62,10,8,0,,,,,
학생025,202400025,16,73,10,10,0,,,,,
학생041,202400041,13,63,5,9,0,,,,,
학생004,202400004,14,98,4,10,0,,,,,
학생073,202400073,20,63,3,9,0,,,,,
학생083,202400083,13,61,9,10,0,,,,,
학생010,202400010,13,97,10,9,0,,,,,
학생002,202400002,14,64,5,9,0,,,,,
학생042,202400042,16,57,8,9,0,,,,,
