과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
제품관리,1,교수010,0.3,0.3,0.2,0.2,0.3,0.4,0.2,0.1,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생018,202400018,22,72,9,7,0,,,,,
학생033,202400033,15,96,17,8,0,,,,,
학생381,202400381,30,69,11,8,0,,,,,
학생049,202400049,22,97,7,7,0,,,,,
학생047,202400047,30,62,8,7,0,,,,,
학생345,202400345,22,65,19,8,0,,,,,
학생268,202400268,29,60,13,9,0,,,,,
학생138,202400138,15,64,14,7,0,,,,,
학생293,202400293,22,93,20,7,0,,,,,
학생249,202400249,28,69,11,9,0,,,,,
학생121,202400121,15,97,7,8,0,,,,,
학생243,202400243,25,68,17,8,0,,,,,
학생090,202400090,26,77,7,9,0,,,,,
학생096,202400096,16,70,10,10,0,,,,,
학생241,202400241,22,53,5,8,0,,,,,
학생365,202400365,19,61,18,10,0,,,,,
학생059,202400059,15,88,12,8,0,,,,,
학생378,202400378,30,54,12,7,0,,,,,
학생288,202400288,22,91,7,10,0,,,,,
학생016,202400016,28,93,11,9,0,,,,,
학생343,202400343,21,58,18,10,0,,,,,
학생279,202400279,16,70,20,9,0,,,,,
학생203,202400203,23,67,20,8,0,,,,,
학생216,202400216,30,51,11,7,0,,,,,
학생333,202400333,24,84,15,7,0,,,,,
학생251,202400251,29,84,8,7,0,,,,,
학생109,202400109,28,97,14,10,0,,,,,
학생380,202400380,21,51,14,10,0,,,,,
학생146,202400146,16,50,10,8,0,,,,,
학생113,202400113,15,72,15,9,0,,,,,
학생217,202400217,29,99,11,9,0,,,,,
학생334,202400334,27,81,15,8,0,,,,,
학생315,202400315,15,91,11,10,0,,,,,
학생006,202400006,19,92,13,8,0,,,,,
학생038,202400038,26,68,11,7,0,,,,,
학생042,202400042,26,77,19,10,0,,,,,
학생352,202400352,16,54,18,7,0,,,,,
학생326,202400326,19,60,9,9,0,,,,,
학생305,202400305,16,73,17,8,0,,,,,
학생104,202400104,26,68,18,10,0,,,,,
학생383,202400383,16,72,7,10,0,,,,,
학생220,202400220,17,88,19,7,0,,,,,
학생137,202400137,20,90,11,7,0,,,,,
학생158,202400158,29,61,13,7,0,,,,,
학생129,202400129,20,54,17,10,0,,,,,
학생115,202400115,20,72,16,9,0,,,,,
학생039,202400039,20,61,19,9,0,,,,,
학생188,202400188,24,57,15,10,0,,,,,
학생319,202400319,25,69,6,8,0,,,,,
학생036,202400036,19,68,11,9,0,,,,,
