과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
조직행동론,2,교수006,0.3,0.3,0.2,0.2,0.35,0.83,0.17,0,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생214,202400214,37,83,10,10,1,,,,,
학생221,202400221,31,77,8,10,1,,,,,
학생130,202400130,23,72,10,8,1,,,,,
학생147,202400147,40,67,9,10,1,,,,,
학생154,202400154,19,84,9,8,1,,,,,
학생208,202400208,22,51,8,10,1,,,,,
학생256,202400256,47,60,8,8,1,,,,,
학생272,202400272,25,80,8,9,1,,,,,
학생132,202400132,26,67,10,8,1,,,,,
학생127,202400127,44,77,8,10,1,,,,,
학생025,202400025,29,71,9,10,1,,,,,
학생200,202400200,46,91,8,10,1,,,,,
학생133,202400133,31,88,9,8,1,,,,,
학생181,202400181,24,63,9,8,1,,,,,
학생229,202400229,31,62,10,9,1,,,,,
학생148,202400148,33,95,9,10,1,,,,,
학생100,202400100,40,70,9,8,1,,,,,
학생213,202400213,36,88,9,10,1,,,,,
학생281,202400281,47,73,10,10,1,,,,,
학생247,202400247,32,50,8,10,1,,,,,
학생233,202400233,22,59,9,9,1,,,,,
학생129,202400129,41,87,8,9,1,,,,,
학생245,202400245,25,54,8,10,1,,,,,
학생164,202400164,19,70,8,9,1,,,,,
학생104,202400104,27,68,9,10,1,,,,,
학생112,202400112,50,58,10,8,1,,,,,
학생078,202400078,31,65,10,9,1,,,,,
학생065,202400065,19,81,9,9,1,,,,,
학생223,202400223,28,92,10,10,1,,,,,
학생071,202400071,38,90,8,10,1,,,,,
학생117,202400117,47,90,9,10,1,,,,,
학생120,202400120,32,97,8,10,1,,,,,
학생261,202400261,32,53,9,9,1,,,,,
학생116,202400116,33,74,9,8,1,,,,,
학생276,202400276,29,61,10,8,1,,,,,
학생047,202400047,27,52,10,10,1,,,,,
학생053,202400053,20,55,9,9,1,,,,,
학생046,202400046,35,59,10,8,1,,,,,
학생190,202400190,35,66,10,8,1,,,,,
학생063,202400063,40,86,8,9,1,,,,,
학생224,202400224,30,98,8,8,1,,,,,
학생128,202400128,39,54,8,8,1,,,,,
학생051,202400051,35,57,8,10,1,,,,,
학생054,202400054,24,67,10,10,1,,,,,
학생285,202400285,43,59,9,10,1,,,,,
학생004,202400004,46,65,10,9,1,,,,,
학생059,202400059,27,86,10,10,1,,,,,
학생119,202400119,24,72,9,9,1,,,,,
학생032,202400032,19,66,8,8,1,,,,,
학생107,202400107,29,62,9,10,1,,,,,
학생091,202400091,25,56,9,8,1,,,,,
학생246,202400246,24,73,9,8,1,,,,,
학생028,202400028,19,89,9,10,1,,,,,
학생195,202400195,45,94,10,8,1,,,,,
학생023,202400023,33,77,9,10,1,,,,,
학생241,202400241,27,93,9,9,1,,,,,
학생035,202400035,25,95,10,8,1,,,,,
학생290,202400290,30,89,9,8,1,,,,,
