과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
중급재무회계,1,교수008,0.3,0.3,0.2,0.2,0.3,0.4,0.2,0.1,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생301,202400301,9,76,5,4,0,,,,,
학생361,202400361,1,76,6,6,0,,,,,
학생325,202400325,12,72,7,3,0,,,,,
학생390,202400390,22,93,7,7,0,,,,,
학생398,202400398,21,72,1,9,0,,,,,
학생349,202400349,11,84,1,3,0,,,,,
학생338,202400338,13,91,0,6,0,,,,,
학생331,202400331,20,79,7,10,0,,,,,
학생395,202400395,19,96,1,5,0,,,,,
학생345,202400345,17,85,7,3,0,,,,,
학생302,202400302,0,85,1,3,0,,,,,
학생366,202400366,2,75,4,3,0,,,,,
학생380,202400380,22,72,1,8,0,,,,,
학생303,202400303,16,91,10,4,0,,,,,
학생374,202400374,2,94,6,5,0,,,,,
학생355,202400355,20,100,3,9,0,,,,,
학생386,202400386,30,94,9,3,0,,,,,
학생306,202400306,2,98,7,4,0,,,,,
학생376,202400376,19,99,10,8,0,,,,,
학생397,202400397,0,91,2,6,0,,,,,
학생308,202400308,19,81,8,7,0,,,,,
학생365,202400365,4,85,10,7,0,,,,,
학생339,202400339,7,95,2,7,0,,,,,
학생323,202400323,20,100,10,5,0,,,,,
학생342,202400342,12,72,7,8,0,,,,,
학생322,202400322,24,98,6,3,0,,,,,
학생394,202400394,20,74,4,5,0,,,,,
학생316,202400316,17,80,1,7,0,,,,,
학생344,202400344,28,93,7,8,0,,,,,
학생389,202400389,3,74,6,7,0,,,,,
학생320,202400320,20,82,10,7,0,,,,,
학생348,202400348,17,97,2,3,0,,,,,
학생314,202400314,13,74,7,10,0,,,,,
학생381,202400381,14,86,1,5,0,,,,,
학생368,202400368,21,98,8,5,0,,,,,
학생319,202400319,20,100,1,4,0,,,,,
학생392,202400392,12,89,0,7,0,,,,,
학생350,202400350,7,83,6,9,0,,,,,
학생371,202400371,27,81,9,5,0,,,,,
학생334,202400334,23,79,1,3,0,,,,,
