과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
투자론,1,교수009,0.3,0.3,0.2,0.2,0.35,0.83,0.17,0,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생335,202400335,29,84,5,9,1,,,,,
학생378,202400378,21,94,20,8,1,,,,,
학생302,202400302,28,95,6,10,1,,,,,
학생383,202400383,23,76,5,8,1,,,,,
학생354,202400354,9,90,16,9,1,,,,,
학생359,202400359,21,99,20,9,1,,,,,
학생351,202400351,11,86,6,9,1,,,,,
학생399,202400399,25,99,15,9,1,,,,,
학생310,202400310,12,82,11,10,1,,,,,
학생353,202400353,21,94,9,8,1,,,,,
학생342,202400342,24,92,19,9,1,,,,,
학생311,202400311,27,90,15,9,1,,,,,
학생340,202400340,13,82,16,9,1,,,,,
학생312,202400312,21,90,17,10,1,,,,,
학생375,202400375,15,83,9,10,1,,,,,
학생325,202400325,27,85,7,8,1,,,,,
학생382,202400382,9,79,6,10,1,,,,,
학생328,202400328,26,98,9,9,1,,,,,
학생360,202400360,19,92,16,9,1,,,,,
학생017,202400017,26,80,9,10,1,,,,,
학생368,202400368,15,84,17,8,1,,,,,
학생374,202400374,24,98,12,9,1,,,,,
학생006,202400006,21,87,10,8,1,,,,,
학생355,202400355,23,97,13,8,1,,,,,
학생380,202400380,28,79,9,10,1,,,,,
학생301,202400301,17,98,5,9,1,,,,,
학생356,202400356,19,79,11,8,1,,,,,
학생320,202400320,28,84,13,8,1,,,,,
학생372,202400372,25,87,16,9,1,,,,,
학생327,202400327,25,89,18,8,1,,,,,
학생308,202400308,22,78,16,9,1,,,,,
학생388,202400388,29,78,16,9,1,,,,,
학생338,202400338,30,81,20,9,1,,,,,
학생309,202400309,9,88,18,10,1,,,,,
학생369,202400369,24,75,6,10,1,,,,,
학생384,202400384,21,76,12,10,1,,,,,
학생361,202400361,28,75,13,10,1,,,,,
학생307,202400307,28,81,17,9,1,,,,,
학생339,202400339,20,83,17,10,1,,,,,
학생370,202400370,17,80,13,8,1,,,,,
학생389,202400389,17,98,17,8,1,,,,,
학생346,202400346,9,96,18,9,1,,,,,
학생330,202400330,28,96,16,10,1,,,,,
학생323,202400323,17,79,8,10,1,,,,,
학생398,202400398,12,95,11,9,1,,,,,
학생343,202400343,30,95,8,10,1,,,,,
학생316,202400316,24,78,10,8,1,,,,,
학생387,202400387,27,81,15,8,1,,,,,
학생391,202400391,21,84,14,8,1,,,,,
학생326,202400326,19,76,14,8,1,,,,,
학생333,202400333,18,94,13,9,1,,,,,
학생348,202400348,24,82,18,10,1,,,,,
학생350,202400350,12,81,8,8,1,,,,,
학생366,202400366,15,77,13,8,1,,,,,
학생319,202400319,30,91,16,8,1,,,,,
학생337,202400337,25,87,17,8,1,,,,,
학생334,202400334,20,94,6,9,1,,,,,
학생303,202400303,22,80,17,9,1,,,,,
학생344,202400344,15,84,8,8,1,,,,,
학생371,202400371,11,91,8,10,1,,,,,
학생321,202400321,25,83,16,10,1,,,,,
학생367,202400367,17,83,19,10,1,,,,,
학생379,202400379,19,86,20,10,1,,,,,
학생390,202400390,22,93,13,8,1,,,,,
학생341,202400341,13,77,5,9,1,,,,,
학생349,202400349,15,78,19,8,1,,,,,
학생305,202400305,24,91,13,10,1,,,,,
학생324,202400324,18,86,8,8,1,,,,,
학생336,202400336,25,96,11,8,1,,,,,
학생377,202400377,25,89,5,9,1,,,,,
