과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
회계학원론,1,교수005,0.3,0.3,0.2,0.2,0.35,0.83,0.17,0,0
이름,학번,중간고사,기말고사,과제점수,출석점수,이의신청,이의신청 내용,,,,
학생092,202400092,34,62,19,9,1,,,,,
학생082,202400082,29,97,9,9,1,,,,,
학생352,202400352,38,73,19,8,1,,,,,
학생100,202400100,35,100,13,9,1,,,,,
학생340,202400340,32,77,10,9,1,,,,,
학생225,202400225,38,99,10,8,1,,,,,
학생388,202400388,26,89,15,7,1,,,,,
학생208,202400208,28,91,11,8,1,,,,,
학생244,202400244,33,64,11,9,1,,,,,
학생157,202400157,28,60,6,9,1,,,,,
학생159,202400159,29,68,18,10,1,,,,,
학생061,202400061,25,84,13,9,1,,,,,
학생353,202400353,33,87,16,9,1,,,,,
학생328,202400328,38,68,18,9,1,,,,,
학생094,202400094,25,76,14,7,1,,,,,
학생058,202400058,40,99,15,10,1,,,,,
학생216,202400216,27,79,10,7,1,,,,,
학생026,202400026,33,66,17,9,1,,,,,
학생243,202400243,25,84,13,9,1,,,,,
학생168,202400168,29,96,15,8,1,,,,,
학생088,202400088,39,74,6,7,1,,,,,
학생246,202400246,34,73,20,7,1,,,,,
학생065,202400065,27,97,8,7,1,,,,,
학생239,202400239,40,81,17,8,1,,,,,
학생089,202400089,30,89,16,10,1,,,,,
학생077,202400077,36,75,13,10,1,,,,,
학생290,202400290,33,86,16,9,1,,,,,
학생187,202400187,29,73,19,7,1,,,,,
학생066,202400066,26,100,11,8,1,,,,,
학생254,202400254,28,67,5,7,1,,,,,
학생076,202400076,28,91,10,7,1,,,,,
학생063,202400063,26,90,20,9,1,,,,,
학생150,202400150,27,66,13,7,1,,,,,
학생049,202400049,26,82,14,9,1,,,,,
학생238,202400238,28,94,5,7,1,,,,,
학생137,202400137,34,83,15,10,1,,,,,
학생270,202400270,40,60,14,7,1,,,,,
학생245,202400245,26,83,10,8,1,,,,,
학생126,202400126,31,79,8,8,1,,,,,
학생206,202400206,37,60,8,8,1,,,,,
학생128,202400128,39,69,10,7,1,,,,,
학생377,202400377,33,95,6,10,1,,,,,
학생257,202400257,38,71,8,8,1,,,,,
학생012,202400012,32,82,18,9,1,,,,,
학생376,202400376,35,90,13,9,1,,,,,
학생001,202400001,26,79,8,8,1,,,,,
학생396,202400396,39,62,7,7,1,,,,,
학생351,202400351,28,61,15,8,1,,,,,
학생105,202400105,35,70,8,7,1,,,,,
학생084,202400084,25,60,11,9,1,,,,,
학생034,202400034,26,68,7,10,1,,,,,
학생379,202400379,26,86,20,10,1,,,,,
학생218,202400218,35,72,11,10,1,,,,,
학생142,202400142,30,77,9,8,1,,,,,
학생136,202400136,36,76,17,7,1,,,,,
학생091,202400091,34,63,18,9,1,,,,,
학생368,202400368,28,97,16,8,1,,,,,
학생051,202400051,37,62,7,9,1,,,,,
학생209,202400209,31,76,18,7,1,,,,,
학생219,202400219,39,62,13,10,1,,,,,
학생139,202400139,30,74,7,9,1,,,,,
학생074,202400074,31,77,7,7,1,,,,,
학생338,202400338,36,73,20,8,1,,,,,
학생308,202400308,29,90,16,7,1,,,,,
학생055,202400055,38,95,11,10,1,,,,,
학생018,202400018,33,94,7,9,1,,,,,
학생114,202400114,33,93,20,10,1,,,,,
학생300,202400300,27,65,12,8,1,,,,,
학생337,202400337,31,85,20,7,1,,,,,
학생097,202400097,25,95,14,10,1,,,,,
학생306,202400306,37,63,15,10,1,,,,,
학생311,202400311,26,90,15,8,1,,,,,
학생332,202400332,28,87,5,10,1,,,,,
학생213,202400213,27,74,9,7,1,,,,,
학생309,202400309,40,71,20,10,1,,,,,
학생093,202400093,34,63,8,9,1,,,,,
학생166,202400166,26,82,8,7,1,,,,,
학생371,202400371,40,67,19,7,1,,,,,
학생181,202400181,39,83,8,7,1,,,,,
학생020,202400020,29,63,9,9,1,,,,,
학생380,202400380,29,61,13,7,1,,,,,
학생155,202400155,34,80,8,10,1,,,,,
학생235,202400235,40,100,10,10,1,,,,,
학생297,202400297,34,99,20,9,1,,,,,
학생019,202400019,36,95,19,9,1,,,,,
학생023,202400023,37,83,11,10,1,,,,,
학생192,202400192,40,97,11,7,1,,,,,
학생220,202400220,25,90,16,10,1,,,,,
학생152,202400152,33,73,9,9,1,,,,,
학생043,202400043,36,64,10,9,1,,,,,
학생156,202400156,40,70,5,10,1,,,,,
학생125,202400125,27,89,7,9,1,,,,,
학생241,202400241,32,87,5,10,1,,,,,
학생223,202400223,32,77,6,10,1,,,,,
학생281,202400281,33,80,18,7,1,,,,,
학생304,202400304,40,83,12,9,1,,,,,
학생365,202400365,27,71,6,9,1,,,,,
학생250,202400250,31,83,14,9,1,,,,,
학생067,202400067,26,66,11,8,1,,,,,
학생313,202400313,37,95,8,9,1,,,,,
